Dis,Terminal ID,Terminal,Time slot,Nb of releases,Nb of bike returns,Balance
Vilnius,1,1-ARKIKATEDRA,00H - 01H,186,126,-60
Vilnius,1,1-ARKIKATEDRA,01H - 02H,97,71,-26
Vilnius,1,1-ARKIKATEDRA,02H - 03H,54,16,-38
Vilnius,1,1-ARKIKATEDRA,03H - 04H,48,22,-26
Vilnius,1,1-ARKIKATEDRA,04H - 05H,40,13,-27
Vilnius,1,1-ARKIKATEDRA,05H - 06H,38,16,-22
Vilnius,1,1-ARKIKATEDRA,06H - 07H,618,101,-517
Vilnius,1,1-ARKIKATEDRA,07H - 08H,606,1010,404
Vilnius,1,1-ARKIKATEDRA,08H - 09H,1148,1751,603
Vilnius,1,1-ARKIKATEDRA,09H - 10H,970,939,-31
Vilnius,1,1-ARKIKATEDRA,10H - 11H,678,814,136
Vilnius,1,1-ARKIKATEDRA,11H - 12H,776,876,100
Vilnius,1,1-ARKIKATEDRA,12H - 13H,1072,1105,33
Vilnius,1,1-ARKIKATEDRA,13H - 14H,825,967,142
Vilnius,1,1-ARKIKATEDRA,14H - 15H,1005,895,-110
Vilnius,1,1-ARKIKATEDRA,15H - 16H,988,955,-33
Vilnius,1,1-ARKIKATEDRA,16H - 17H,1323,1085,-238
Vilnius,1,1-ARKIKATEDRA,17H - 18H,1614,1367,-247
Vilnius,1,1-ARKIKATEDRA,18H - 19H,1414,1616,202
Vilnius,1,1-ARKIKATEDRA,19H - 20H,1216,1230,14
Vilnius,1,1-ARKIKATEDRA,20H - 21H,975,961,-14
Vilnius,1,1-ARKIKATEDRA,21H - 22H,708,641,-67
Vilnius,1,1-ARKIKATEDRA,22H - 23H,490,381,-109
Vilnius,1,1-ARKIKATEDRA,23H - 24H,304,238,-66
Vilnius,2,2-BARBOROS RADVILAITES,00H - 01H,134,122,-12
Vilnius,2,2-BARBOROS RADVILAITES,01H - 02H,67,77,10
Vilnius,2,2-BARBOROS RADVILAITES,02H - 03H,38,45,7
Vilnius,2,2-BARBOROS RADVILAITES,03H - 04H,16,29,13
Vilnius,2,2-BARBOROS RADVILAITES,04H - 05H,19,25,6
Vilnius,2,2-BARBOROS RADVILAITES,05H - 06H,21,19,-2
Vilnius,2,2-BARBOROS RADVILAITES,06H - 07H,820,79,-741
Vilnius,2,2-BARBOROS RADVILAITES,07H - 08H,985,1537,552
Vilnius,2,2-BARBOROS RADVILAITES,08H - 09H,1641,1693,52
Vilnius,2,2-BARBOROS RADVILAITES,09H - 10H,1116,1050,-66
Vilnius,2,2-BARBOROS RADVILAITES,10H - 11H,647,762,115
Vilnius,2,2-BARBOROS RADVILAITES,11H - 12H,933,731,-202
Vilnius,2,2-BARBOROS RADVILAITES,12H - 13H,958,1111,153
Vilnius,2,2-BARBOROS RADVILAITES,13H - 14H,929,1132,203
