Year,Day,Month,Weekday,Time slot,Number of trips,Average number of journeys,Total duration of journeys (mn),Durée moyenne d'un trajet
2015,4,April,Wednesday,00H - 01H,12,0.05607476636,127,10.58333333
2015,4,April,Wednesday,01H - 02H,16,0.07476635514,98,6.125
2015,4,April,Wednesday,02H - 03H,7,0.03271028037,56,8
2015,4,April,Wednesday,03H - 04H,3,0.01401869159,26,8.666666667
2015,4,April,Wednesday,04H - 05H,2,0.009345794393,38,19
2015,4,April,Wednesday,05H - 06H,7,0.03271028037,93,13.28571429
2015,4,April,Wednesday,06H - 07H,151,0.7056074766,3955,26.19205298
2015,4,April,Wednesday,07H - 08H,349,1.630841121,4354,12.4756447
2015,4,April,Wednesday,08H - 09H,481,2.247663551,5539,11.51559252
2015,4,April,Wednesday,09H - 10H,361,1.686915888,8110,22.46537396
2015,4,April,Wednesday,10H - 11H,192,0.8971962617,4431,23.078125
2015,4,April,Wednesday,11H - 12H,247,1.154205607,3300,13.36032389
2015,4,April,Wednesday,12H - 13H,327,1.528037383,8306,25.40061162
2015,4,April,Wednesday,13H - 14H,278,1.299065421,46205,166.205036
2015,4,April,Wednesday,14H - 15H,269,1.257009346,4543,16.88847584
2015,4,April,Wednesday,15H - 16H,297,1.387850467,3869,13.02693603
2015,4,April,Wednesday,16H - 17H,438,2.046728972,5135,11.72374429
2015,4,April,Wednesday,17H - 18H,677,3.163551402,7613,11.24519941
2015,4,April,Wednesday,18H - 19H,633,2.957943925,7271,11.48657188
2015,4,April,Wednesday,19H - 20H,398,1.859813084,6524,16.3919598
2015,4,April,Wednesday,20H - 21H,328,1.53271028,13240,40.36585366
2015,4,April,Wednesday,21H - 22H,196,0.9158878505,14087,71.87244898
2015,4,April,Wednesday,22H - 23H,96,0.4485981308,935,9.739583333
2015,4,April,Wednesday,23H - 24H,55,0.2570093458,526,9.563636364
2015,4,April,Thursday,00H - 01H,21,0.09813084112,192,9.142857143
2015,4,April,Thursday,01H - 02H,15,0.07009345794,221,14.73333333
2015,4,April,Thursday,02H - 03H,6,0.02803738318,54,9
2015,4,April,Thursday,03H - 04H,4,0.01869158879,30,7.5
2015,4,April,Thursday,04H - 05H,1,0.004672897196,8,8
2015,4,April,Thursday,06H - 07H,179,0.8364485981,3054,17.06145251
2015,4,April,Thursday,07H - 08H,367,1.714953271,4554,12.40871935
2015,4,April,Thursday,08H - 09H,646,3.018691589,9177,14.20588235
2015,4,April,Thursday,09H - 10H,459,2.144859813,7796,16.98474946
2015,4,April,Thursday,10H - 11H,258,1.205607477,24268,94.0620155
2015,4,April,Thursday,11H - 12H,331,1.546728972,12433,37.56193353
2015,4,April,Thursday,12H - 13H,463,2.163551402,5742,12.40172786
2015,4,April,Thursday,13H - 14H,342,1.598130841,50450,147.5146199
2015,4,April,Thursday,14H - 15H,355,1.658878505,4875,13.73239437
2015,4,April,Thursday,15H - 16H,405,1.892523364,5281,13.03950617
2015,4,April,Thursday,16H - 17H,567,2.64953271,8067,14.22751323
2015,4,April,Thursday,17H - 18H,746,3.485981308,9598,12.86595174
2015,4,April,Thursday,18H - 19H,676,3.158878505,8230,12.17455621
2015,4,April,Thursday,19H - 20H,541,2.528037383,9104,16.82809612
2015,4,April,Thursday,20H - 21H,422,1.971962617,11259,26.68009479
2015,4,April,Thursday,21H - 22H,247,1.154205607,8789,35.58299595
2015,4,April,Thursday,22H - 23H,183,0.8551401869,1828,9.989071038
2015,4,April,Thursday,23H - 24H,111,0.5186915888,939,8.459459459
2015,4,April,Friday,00H - 01H,31,0.1448598131,255,8.225806452
2015,4,April,Friday,01H - 02H,14,0.06542056075,105,7.5
2015,4,April,Friday,02H - 03H,5,0.02336448598,47,9.4
2015,4,April,Friday,03H - 04H,7,0.03271028037,42,6
2015,4,April,Friday,04H - 05H,5,0.02336448598,26,5.2
2015,4,April,Friday,05H - 06H,1,0.004672897196,11,11
2015,4,April,Friday,06H - 07H,151,0.7056074766,4756,31.49668874
2015,4,April,Friday,07H - 08H,293,1.369158879,3705,12.64505119
2015,4,April,Friday,08H - 09H,494,2.308411215,5824,11.78947368
2015,4,April,Friday,09H - 10H,347,1.621495327,6595,19.00576369
2015,4,April,Friday,10H - 11H,183,0.8551401869,2342,12.79781421
2015,4,April,Friday,11H - 12H,249,1.163551402,4848,19.46987952
2015,4,April,Friday,12H - 13H,300,1.401869159,3342,11.14
2015,4,April,Friday,13H - 14H,235,1.098130841,2929,12.46382979
2015,4,April,Friday,14H - 15H,223,1.042056075,3015,13.52017937
2015,4,April,Friday,15H - 16H,354,1.654205607,4255,12.01977401
2015,4,April,Friday,16H - 17H,388,1.813084112,5011,12.91494845
2015,4,April,Friday,17H - 18H,478,2.23364486,5795,12.12343096
2015,4,April,Friday,18H - 19H,389,1.817757009,5145,13.22622108
2015,4,April,Friday,19H - 20H,266,1.242990654,4158,15.63157895
2015,4,April,Friday,20H - 21H,258,1.205607477,12568,48.71317829
2015,4,April,Friday,21H - 22H,172,0.8037383178,45713,265.7732558
2015,4,April,Friday,22H - 23H,86,0.4018691589,966,11.23255814
2015,4,April,Friday,23H - 24H,68,0.3177570093,775,11.39705882
2015,4,April,Saturday,00H - 01H,61,0.285046729,650,10.6557377
2015,4,April,Saturday,01H - 02H,52,0.2429906542,466,8.961538462
2015,4,April,Saturday,02H - 03H,31,0.1448598131,326,10.51612903
2015,4,April,Saturday,03H - 04H,26,0.1214953271,319,12.26923077
2015,4,April,Saturday,04H - 05H,16,0.07476635514,134,8.375
2015,4,April,Saturday,05H - 06H,6,0.02803738318,53,8.833333333
2015,4,April,Saturday,06H - 07H,10,0.04672897196,99,9.9
2015,4,April,Saturday,07H - 08H,18,0.08411214953,197,10.94444444
2015,4,April,Saturday,08H - 09H,82,0.3831775701,1444,17.6097561
2015,4,April,Saturday,09H - 10H,139,0.6495327103,2727,19.61870504
2015,4,April,Saturday,10H - 11H,141,0.6588785047,3106,22.02836879
2015,4,April,Saturday,11H - 12H,174,0.8130841121,15657,89.98275862
2015,4,April,Saturday,12H - 13H,230,1.074766355,4025,17.5
2015,4,April,Saturday,13H - 14H,255,1.191588785,6301,24.70980392
2015,4,April,Saturday,14H - 15H,301,1.406542056,5242,17.41528239
2015,4,April,Saturday,15H - 16H,305,1.425233645,5696,18.67540984
2015,4,April,Saturday,16H - 17H,266,1.242990654,3927,14.76315789
2015,4,April,Saturday,17H - 18H,307,1.434579439,4581,14.9218241
2015,4,April,Saturday,18H - 19H,295,1.378504673,4715,15.98305085
2015,4,April,Saturday,19H - 20H,287,1.341121495,4166,14.51567944
2015,4,April,Saturday,20H - 21H,293,1.369158879,3860,13.17406143
2015,4,April,Saturday,21H - 22H,191,0.8925233645,2525,13.21989529
2015,4,April,Saturday,22H - 23H,127,0.5934579439,1662,13.08661417
2015,4,April,Saturday,23H - 24H,88,0.4112149533,2293,26.05681818
2015,4,April,Sunday,00H - 01H,44,0.2056074766,459,10.43181818
2015,4,April,Sunday,01H - 02H,36,0.1682242991,387,10.75
2015,4,April,Sunday,02H - 03H,30,0.1401869159,270,9
2015,4,April,Sunday,03H - 04H,22,0.1028037383,179,8.136363636
2015,4,April,Sunday,04H - 05H,19,0.08878504673,162,8.526315789
2015,4,April,Sunday,05H - 06H,9,0.04205607477,81,9
2015,4,April,Sunday,06H - 07H,10,0.04672897196,126,12.6
2015,4,April,Sunday,07H - 08H,25,0.1168224299,208,8.32
2015,4,April,Sunday,08H - 09H,118,0.5514018692,2581,21.87288136
2015,4,April,Sunday,09H - 10H,121,0.5654205607,29904,247.1404959
2015,4,April,Sunday,10H - 11H,94,0.4392523364,2086,22.19148936
2015,4,April,Sunday,11H - 12H,124,0.5794392523,2381,19.2016129
2015,4,April,Sunday,12H - 13H,135,0.6308411215,2163,16.02222222
2015,4,April,Sunday,13H - 14H,224,1.046728972,3324,14.83928571
2015,4,April,Sunday,14H - 15H,229,1.070093458,3738,16.3231441
2015,4,April,Sunday,15H - 16H,207,0.9672897196,2937,14.1884058
2015,4,April,Sunday,16H - 17H,205,0.9579439252,54415,265.4390244
2015,4,April,Sunday,17H - 18H,215,1.004672897,2833,13.17674419
2015,4,April,Sunday,18H - 19H,241,1.126168224,4364,18.10788382
2015,4,April,Sunday,19H - 20H,216,1.009345794,4181,19.35648148
2015,4,April,Sunday,20H - 21H,123,0.5747663551,2233,18.15447154
2015,4,April,Sunday,21H - 22H,107,0.5,2560,23.92523364
2015,4,April,Sunday,22H - 23H,78,0.3644859813,893,11.44871795
2015,4,April,Sunday,23H - 24H,27,0.1261682243,310,11.48148148
2015,4,April,Monday,00H - 01H,15,0.07009345794,283,18.86666667
2015,4,April,Monday,01H - 02H,8,0.03738317757,79,9.875
2015,4,April,Monday,02H - 03H,4,0.01869158879,39,9.75
2015,4,April,Monday,03H - 04H,2,0.009345794393,16,8
2015,4,April,Monday,04H - 05H,3,0.01401869159,20,6.666666667
2015,4,April,Monday,05H - 06H,4,0.01869158879,36,9
2015,4,April,Monday,06H - 07H,103,0.4813084112,1561,15.15533981
2015,4,April,Monday,07H - 08H,299,1.397196262,3538,11.83277592
2015,4,April,Monday,08H - 09H,435,2.03271028,6073,13.96091954
2015,4,April,Monday,09H - 10H,344,1.607476636,5018,14.5872093
2015,4,April,Monday,10H - 11H,192,0.8971962617,2643,13.765625
2015,4,April,Monday,11H - 12H,279,1.303738318,16003,57.35842294
2015,4,April,Monday,12H - 13H,335,1.565420561,4194,12.51940299
2015,4,April,Monday,13H - 14H,247,1.154205607,57921,234.4979757
