Number	Name	Address	Latitude	Longitude
18	18-VILNIAUS G.	Vilniaus g. – Islandijos g. sankryþa	54.68300406	25.28001237
27	27-ÞALIASIS TILTAS	Kalvarijø g. – Þvejø g. sankryþa	54.69221264	25.27933285
1	1-ARKIKATEDRA	Ðventaragio g.	54.68590826	25.28560002
33	33-LIETUVOS VAIKØ IR JAUNIMO CENTRAS	Konstitucijos pr. (ðalia Lietuvos vaikø ir jaunimo centro)	54.698543	25.26644
10	10-KALNØ PARKAS	T. Kosciuðkos g.	54.68866096	25.29316907
38	38-ÐILO TILTAS	Þirmûnø g. - Minties g. sankryþa	54.705339	25.304181
23	23-EUROPOS A.	Konstitucijos pr. (Europos aikðtë)	54.69546047	25.2786606
25	25-PANORAMA	Saltoniðkiø g. (PC „Panorama“)	54.69850622	25.25819165
5	5-FILHARMONIJA	Didþioji g. – Subaèiaus g. sankryþa	54.6762269	25.28861228
20	20-TRAKØ	Pylimo g. (prieðais kino teatrà „Lietuva“)	54.6791769	25.27784234
28	28-OPEROS IR BALETO TEATRAS	A. Vienuolio g. – A. Goðtauto g. sankryþa	54.69049166	25.27821042
40	40-OGMIOS MIESTAS	Lukðio g. (Ogmios miestas)	54.712375	25.29664
36	36-AUTOBUSØ STOTIS	Geleþinkelio g. – Stoties g. sankryþa (ðalia Autobusø stoties)	54.67059724	25.28283084
29	29-ÞALGIRIO STADIONAS	Rinktinës g. – A. Juozapavièiaus g. sankryþà	54.69180897	25.28903636
26	26-EDUKOLOGIJOS UNIVERSITETAS	Upës g. – Studentø g. sankryþa	54.695651	25.25728122
4	4-ÐV. KAZIMIERO BAÞNYÈIA	Didþioji g.	54.67788858	25.28745212
11	11-KARALIAUS MINDAUGO	Þygimantø g.	54.68870707	25.28717553
21	21-VAÐINGTONO A.	J. Tumo-Vaiþganto g. – Lukiðkiø a. sankryþa	54.69207484	25.2711658
37	TEST STATION	Joèioniø	54.691713	25.288714
6	6-HALËS TURGAVIETË	Visø Ðventøjø g. – Bazilijonø g. sankryþa	54.67422353	25.2855307
19	19-S. NËRIES GIMNAZIJA	Vokieèiø g. – Dominikonø g. sankryþa	54.68094054	25.28207902
15	15-M. MAÞVYDO BIBLIOTEKA	Gedimino pr. – Gynëjø g. sankryþa	54.69008355	25.26344367
22	22-VCUP	Upës g. (ðalia VCUP)	54.6941691	25.27496123
17	17-P. CVIRKOS	Pamënkalnio g. – Jogailos g. sankryþa	54.68476062	25.27703073
12	12-V. KUDIRKOS A.	Gedimino pr. (V. Kudirkos aikðtë)	54.68727317	25.28012935
13	13-A. VIENUOLIO	Gedimino pr.	54.68785091	25.27663297
24	24-FORUM PALACE	Upës g. – G. Baravyko g. sankryþa	54.69631647	25.26611228
3	3-K. SIRVYDO SKV.	Pilies g. – Bokðto g. sankryþa	54.68093041	25.2884646
16	16-TAURO KALNAS	Pamënkalnio g. – Tauro g. sankryþa	54.68681715	25.27143064
7	7-STOTIS	Seinø g. – Geleþinkelio st. sankryþa	54.67115499	25.28417915
2	2-BARBOROS RADVILAITËS	Pilies g. – Radvilaitës g. sankryþa	54.68447055	25.28936958
39	39-ÐIAURËS MIESTELIS	Þirmûnø g. - Lukðio g. sankryþa	54.711357	25.304238
31	31-OLANDØ ÞIEDAS	Antakalnio g. – Olandø g. þiedinë sankryþa (ðalia Ðv. Petro ir Povilo baþnyèios)	54.69332591	25.30506775
9	9-UÞUPIS	Uþupio g. – Kriviø g. sankryþa	54.68114579	25.29904378
14	14-LUKIÐKIØ A.	Gedimino av. – J. Tumo-Vaiþganto str. crossing	54.68907997	25.26938954
8	8-MAIRONIO G.	Kûdrø g. – Maironio g. sankryþa	54.67852	25.29385654
30	30-IKI MINSKAS	Þirmûnø g. – Tuskulënø g. þiedinë sankryþa (ðalia PC IKI Minskas)	54.69678393	25.29886217
35	35-VILNIAUS VARTAI	A. Tumëno g.	54.69181762	25.26346218
