service_id,date,exception_type
12345,20140101,2
123456,20140101,2
5,20140101,2
6,20140101,2
7,20140101,1
67,20140101,1
12345,20140216,2
123456,20140216,2
5,20140216,2
6,20140216,2
7,20140216,1
67,20140216,1
12345,20140311,2
123456,20140311,2
5,20140311,2
6,20140311,2
7,20140311,1
67,20140311,1
12345,20140624,2
123456,20140624,2
5,20140624,2
6,20140624,2
7,20140624,1
67,20140624,1
12345,20140706,2
123456,20140706,2
5,20140706,2
6,20140706,2
7,20140706,1
67,20140706,1
12345,20140815,2
123456,20140815,2
5,20140815,2
6,20140815,2
7,20140815,1
67,20140815,1
12345,20141223,2
123456,20141223,2
5,20141223,2
6,20141223,2
7,20141223,1
67,20141223,1
12345,20141224,2
123456,20141224,2
5,20141224,2
6,20141224,2
7,20141224,1
67,20141224,1
12345,20141225,2
123456,20141225,2
5,20141225,2
6,20141225,2
7,20141225,1
67,20141225,1
12345,20141226,2
123456,20141226,2
5,20141226,2
6,20141226,2
7,20141226,1
67,20141226,1
12345,20141230,2
123456,20141230,2
5,20141230,2
6,20141230,2
7,20141230,1
67,20141230,1
12345,20141231,2
123456,20141231,2
5,20141231,2
6,20141231,2
7,20141231,1
67,20141231,1
