stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
9483,,"1-asis Lentvaris",,54.64436,25.06613,http://www.stops.lt/vilnius/index.html#stop/3906,,
9102,,"Bijūnų st.",,54.66724,25.21586,http://www.stops.lt/vilnius/index.html#stop/1631,,
8258,,"Kaimelio žiedas",,54.73125,25.24389,http://www.stops.lt/vilnius/index.html#stop/3890,,
9481,,"Bališkės",,54.64602,25.09879,http://www.stops.lt/vilnius/index.html#stop/3904,,
9482,,"Bališkės",,54.64620,25.09895,http://www.stops.lt/vilnius/index.html#stop/3905,,
1017,,"Antakalnio žiedas",,54.72291,25.31872,http://www.stops.lt/vilnius/index.html#stop/1118,,
5483,,"Antakalnio žiedas",,54.72232,25.31887,http://www.stops.lt/vilnius/index.html#stop/1118a,,
5485,,"Antakalnio žiedas",,54.72274,25.31912,http://www.stops.lt/vilnius/index.html#stop/1118c,,
5118,,"Antakalnis",,54.71960,25.31724,http://www.stops.lt/vilnius/index.html#stop/1115,,
6711,,"Antakalnis",,54.72106,25.31821,http://www.stops.lt/vilnius/index.html#stop/1116,,
5095,,"Klinikų st.",,54.71125,25.31486,http://www.stops.lt/vilnius/index.html#stop/1110,,
5096,,"Klinikų st.",,54.71058,25.31437,http://www.stops.lt/vilnius/index.html#stop/1109,,
5820,,"Leono Sapiegos st.",,54.69630,25.30809,http://www.stops.lt/vilnius/index.html#stop/1103,,
5826,,"Leono Sapiegos st.",,54.69697,25.30873,http://www.stops.lt/vilnius/index.html#stop/1104,,
5819,,"Petro Vileišio st.",,54.70165,25.30922,http://www.stops.lt/vilnius/index.html#stop/1105,,
6702,,"Petro Vileišio st.",,54.70313,25.31002,http://www.stops.lt/vilnius/index.html#stop/1106,,
5092,,"Šilo tiltas",,54.70545,25.31096,http://www.stops.lt/vilnius/index.html#stop/1108,,
5818,,"Šilo tiltas",,54.70447,25.31024,http://www.stops.lt/vilnius/index.html#stop/1107,,
1035,,"Tverečiaus st.",,54.71619,25.31646,http://www.stops.lt/vilnius/index.html#stop/1113,,
5119,,"Tverečiaus st.",,54.71750,25.31659,http://www.stops.lt/vilnius/index.html#stop/1114,,
5476,,"Lizdeikos st.",,54.72728,25.31552,http://www.stops.lt/vilnius/index.html#stop/1121,,
5490,,"Lizdeikos st.",,54.72720,25.31625,http://www.stops.lt/vilnius/index.html#stop/1132,,
741,,"Nemenčinės plentas",,54.72278,25.32004,http://www.stops.lt/vilnius/index.html#stop/1119,,
5117,,"Nemenčinės plentas",,54.72385,25.32007,http://www.stops.lt/vilnius/index.html#stop/1117,,
3566,,"Saulėtekis",,54.72719,25.32671,http://www.stops.lt/vilnius/index.html#stop/1021,,
5103,,"Saulėtekis",,54.72622,25.32482,http://www.stops.lt/vilnius/index.html#stop/1122,,
5107,,"Gedimino technikos universitetas",,54.72385,25.33566,http://www.stops.lt/vilnius/index.html#stop/1003,,
5116,,"Gedimino technikos universitetas",,54.72412,25.33451,http://www.stops.lt/vilnius/index.html#stop/1002,,
5104,,"Saulėtekis",,54.72621,25.32750,http://www.stops.lt/vilnius/index.html#stop/1001,,
5105,,"Vilniaus universitetas",,54.72454,25.33199,http://www.stops.lt/vilnius/index.html#stop/1023,,
6715,,"Vilniaus universitetas",,54.72488,25.33131,http://www.stops.lt/vilnius/index.html#stop/1022,,
5091,,"Šilo tiltas",,54.70519,25.31007,http://www.stops.lt/vilnius/index.html#stop/1129,,
6886,,"Lyglaukiai",,54.70277,25.35406,http://www.stops.lt/vilnius/index.html#stop/1126,,
6882,,"Šilo st.",,54.69898,25.34787,http://www.stops.lt/vilnius/index.html#stop/1127,,
